Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
0,1235385469275422721,Erica French,Can’t help it... I love a good math pun! ...making the best of masks all day... #hybridlearning #concurrentteaching… https://t.co/XiGwIQs9av,"{'hashtags': [{'text': 'hybridlearning', 'indices': [80, 95]}, {'text': 'concurrentteaching', 'indices': [96, 115]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/XiGwIQs9av', 'expanded_url': 'https://twitter.com/i/web/status/1363639048720457732', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",3,20,2021-02-21 23:57:39,23,93.26,33.19,9.25,99.00,5.75,13.04,65.22,26.09,8.70,4.35,4.35,0.00,0.00,0.00,0.00,4.35,8.70,4.35,0.00,0.00,0.00,4.35,4.35,4.35,4.35,0.00,0.00,4.35,13.04,13.04,0.00,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,13.04,0.00,4.35,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,17.39,8.70,4.35,8.70,8.70,0.00,0.00,4.35,0.00,4.35,0.00,0.00,4.35,4.35,0.00,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,0.00,0.00,73.91,47.83,0.00,0.00,0.00,0.00,4.35,0.00,0.00,4.35,0.00,17.39
1,1233270145998475264,キャスシャン,@el_kurami120 SOCIALDISTANCE,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'el_kurami120', 'name': 'える→くらみ😙♪絡みたい🔥', 'id': 1069039137557164032, 'id_str': '1069039137557164032', 'indices': [0, 13]}], 'urls': []}",0,1,2021-02-21 23:54:18,3,93.26,50.00,1.00,25.77,3.00,66.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.67
2,922353435139174400,Bjoh0909,"Get 30% OFF some fun Monster Face Masks!
https://t.co/cN4yBB6G6b via @zazzle 

#Masks #MasksOff #MasksSaveLives… https://t.co/vOAOlSXDvY","{'hashtags': [{'text': 'Masks', 'indices': [79, 85]}, {'text': 'MasksOff', 'indices': [86, 95]}, {'text': 'MasksSaveLives', 'indices': [96, 111]}], 'symbols': [], 'user_mentions': [{'screen_name': 'zazzle', 'name': 'Zazzle Inc.', 'id': 16304010, 'id_str': '16304010', 'indices': [69, 76]}], 'urls': [{'url': 'https://t.co/cN4yBB6G6b', 'expanded_url': 'https://www.zazzle.com/collections/social_distance_fun-119524046860950234', 'display_url': 'zazzle.com/collections/so…', 'indices': [41, 64]}, {'url': 'https://t.co/vOAOlSXDvY', 'expanded_url': 'https://twitter.com/i/web/status/1363634341914439680', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [113, 136]}]}",0,0,2021-02-21 23:38:56,23,98.23,50.00,2.02,93.61,11.50,21.74,34.78,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,4.35,4.35,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,4.35,4.35,0.00,0.00,0.00,4.35,0.00,0.00,0.00,4.35,0.00,0.00,4.35,0.00,8.70,0.00,8.70,0.00,0.00,4.35,0.00,0.00,0.00,0.00,8.70,0.00,8.70,0.00,0.00,0.00,56.52,13.04,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,39.13
3,2978852505,Michael Conn,"#Coronavirus isn't done with us yet.

Here's what we need to do now to #StaySafe and make it through--… https://t.co/IznwpYWFkC","{'hashtags': [{'text': 'Coronavirus', 'indices': [0, 12]}, {'text': 'StaySafe', 'indices': [71, 80]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/IznwpYWFkC', 'expanded_url': 'https://twitter.com/i/web/status/1363632136054595584', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [104, 127]}]}",0,0,2021-02-21 23:30:10,24,18.82,79.76,1.79,25.77,12.00,16.67,75.00,62.50,16.67,8.33,0.00,8.33,0.00,0.00,0.00,8.33,0.00,16.67,12.50,12.50,4.17,4.17,25.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,12.50,0.00,4.17,4.17,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,4.17,25.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,45.83,12.50,0.00,0.00,0.00,0.00,0.00,8.33,0.00,8.33,0.00,16.67
4,3602712314,Cyn⁷,I can't believe I got covid. This is absolute fucking bullshit. I was so careful wtf. I hate it here. #WearAMask… https://t.co/YJV4LixvfI,"{'hashtags': [{'text': 'WearAMask', 'indices': [102, 112]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/YJV4LixvfI', 'expanded_url': 'https://twitter.com/i/web/status/1363628810990587904', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]}",0,0,2021-02-21 23:16:58,26,3.62,1.00,63.54,1.00,5.20,26.92,76.92,42.31,23.08,15.38,15.38,0.00,0.00,0.00,0.00,7.69,0.00,0.00,7.69,7.69,3.85,3.85,19.23,3.85,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,11.54,3.85,0.00,0.00,0.00,3.85,3.85,0.00,0.00,0.00,0.00,3.85,0.00,0.00,3.85,0.00,7.69,0.00,0.00,0.00,3.85,3.85,7.69,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.38,11.54,7.69,0.00,0.00,0.00,38.46,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,11.54
5,411270221,Veterans4Democracy,"America mourns the loss of #500,000 + lives lost to #COVID19 #RIP💔 Love thy neighbors, Save Lives #WearAMask… https://t.co/TgcgCwFsxc","{'hashtags': [{'text': 'COVID19', 'indices': [52, 60]}, {'text': 'RIP', 'indices': [61, 65]}, {'text': 'WearAMask', 'indices': [98, 108]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/TgcgCwFsxc', 'expanded_url': 'https://twitter.com/i/web/status/1363618447465226240', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [110, 133]}]}",1,1,2021-02-21 22:35:47,23,98.23,95.89,1.00,1.00,23.00,21.74,56.52,17.39,4.35,4.35,0.00,0.00,4.35,0.00,0.00,0.00,4.35,8.70,0.00,0.00,0.00,0.00,17.39,0.00,0.00,0.00,8.70,0.00,21.74,8.70,13.04,0.00,0.00,13.04,13.04,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.04,0.00,8.70,0.00,0.00,17.39,8.70,8.70,0.00,0.00,4.35,4.35,13.04,0.00,4.35,0.00,4.35,0.00,0.00,0.00,4.35,0.00,0.00,4.35,4.35,0.00,4.35,0.00,0.00,0.00,47.83,8.70,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.43
6,4714971972,Three Rivers Public Health,"Have you been exposed to someone with COVID-19? Here is what you need to know!

To learn more about testing sites p… https://t.co/iYthfyXI6K","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/iYthfyXI6K', 'expanded_url': 'https://twitter.com/i/web/status/1363617007996968965', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,0,2021-02-21 22:30:04,28,68.29,96.27,1.06,25.77,9.33,14.29,71.43,46.43,14.29,7.14,0.00,0.00,7.14,0.00,0.00,7.14,0.00,17.86,10.71,7.14,0.00,0.00,25.00,3.57,3.57,3.57,3.57,3.57,0.00,0.00,0.00,0.00,0.00,0.00,10.71,0.00,0.00,0.00,0.00,14.29,7.14,0.00,3.57,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.57,17.86,0.00,3.57,0.00,3.57,0.00,7.14,0.00,0.00,0.00,0.00,0.00,3.57,0.00,3.57,0.00,0.00,0.00,25.00,7.14,0.00,0.00,0.00,3.57,3.57,3.57,0.00,0.00,0.00,7.14
7,74059393,Jenifer Moore 💙,Not the least bit surprised that #StamfordHill has a high rate of #Covid #bbclondonnews The #OrthodoxJews haven't f… https://t.co/sn0CwTzNV1,"{'hashtags': [{'text': 'StamfordHill', 'indices': [33, 46]}, {'text': 'Covid', 'indices': [66, 72]}, {'text': 'bbclondonnews', 'indices': [73, 87]}, {'text': 'OrthodoxJews', 'indices': [92, 105]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/sn0CwTzNV1', 'expanded_url': 'https://twitter.com/i/web/status/1363616626780815365', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",0,0,2021-02-21 22:28:33,23,88.21,4.11,9.25,93.61,23.00,21.74,60.87,34.78,4.35,0.00,0.00,0.00,0.00,0.00,0.00,4.35,13.04,4.35,8.70,0.00,0.00,8.70,8.70,13.04,4.35,0.00,0.00,8.70,4.35,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,4.35,0.00,0.00,0.00,8.70,0.00,4.35,0.00,4.35,0.00,0.00,0.00,0.00,0.00,4.35,0.00,4.35,0.00,4.35,0.00,0.00,0.00,39.13,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,26.09
8,143092332,Harris County Public Health #SocialDistance,"As of today Feb 21 (4pm), there are 342,309 confirmed cases of #COVID19 in Houston/Harris County and 3,207 deaths.… https://t.co/9NxXaxqes5","{'hashtags': [{'text': 'COVID19', 'indices': [63, 71]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9NxXaxqes5', 'expanded_url': 'https://twitter.com/i/web/status/1363611768946327553', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",6,8,2021-02-21 22:09:15,28,93.26,50.00,4.35,25.77,28.00,14.29,39.29,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,3.57,3.57,7.14,0.00,3.57,3.57,3.57,0.00,21.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,10.71,0.00,7.14,3.57,0.00,0.00,0.00,0.00,0.00,3.57,3.57,0.00,3.57,0.00,0.00,0.00,42.86,10.71,10.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,14.29
9,1347624669306904576,MOREthan,"Facts are facts 

#SocialDistance #Sanitize #MOREthan #HandSanitizer #facts https://t.co/MNSrvfVhVF","{'hashtags': [{'text': 'SocialDistance', 'indices': [18, 33]}, {'text': 'Sanitize', 'indices': [34, 43]}, {'text': 'MOREthan', 'indices': [44, 53]}, {'text': 'HandSanitizer', 'indices': [54, 68]}, {'text': 'facts', 'indices': [69, 75]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1363609573597343747, 'id_str': '1363609573597343747', 'indices': [76, 99], 'media_url': 'http://pbs.twimg.com/media/EuyDrraXcAMGCJP.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuyDrraXcAMGCJP.jpg', 'url': 'https://t.co/MNSrvfVhVF', 'display_url': 'pic.twitter.com/MNSrvfVhVF', 'expanded_url': 'https://twitter.com/MoreThanProduct/status/1363609574662688769/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 355, 'h': 359, 'resize': 'fit'}, 'medium': {'w': 355, 'h': 359, 'resize': 'fit'}, 'small': {'w': 355, 'h': 359, 'resize': 'fit'}}}]}",0,1,2021-02-21 22:00:31,13,82.82,50.00,1.00,25.77,13.00,38.46,38.46,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.08,0.00,0.00,0.00,0.00,23.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.69,0.00,7.69,0.00,0.00,0.00,61.54,7.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.85
